ID,Company_Name,Social_Media_Platform,Social_Media_Usage_Hours,CRM_Usage_Score,Company_Performance_Satisfaction_Score,Social_Skills_Score,Social_Media_Sales_Intensity_Score
1,AlphaTech Inc.,Facebook,2.8,7,8,6,6
2,VisionSphere Corp.,Twitter,2.1,6,7,7,5
3,ConnectX Solutions,LinkedIn,3.5,9,9,8,7
4,SocialPro Inc.,Instagram,1.9,5,6,5,3
5,InnovateNow Solutions,Facebook,2.7,7,8,6,6
6,MediaTech Inc.,Twitter,3.1,8,9,8,7
7,LinkTech Solutions,LinkedIn,2.3,6,7,7,5
8,SocialWave Solutions,Instagram,4.2,9,9,8,8
9,NexTech Solutions,Facebook,2,5,6,5,3
10,ConnectHub Co.,Twitter,2.9,7,8,6,6
11,GrowthTech Corp.,LinkedIn,3.3,8,9,8,7
12,MediaSphere Corp.,Instagram,2.8,7,8,6,5
13,SuccessTech Solutions,Facebook,2.2,6,7,5,4
14,MarketUp Co.,Twitter,3.9,9,9,8,8
15,AlphaBiz Solutions,LinkedIn,2,5,6,5,3
16,LinkSphere Corp.,Instagram,2.8,7,8,6,6
17,ConnectXpert Co.,Facebook,3.3,8,9,8,7
18,TechAdvantage Inc.,Twitter,2.7,7,8,6,5
19,SocialSphere Corp.,LinkedIn,2.2,6,7,5,4
20,MarketPro Inc.,Instagram,3.6,9,9,8,8
21,MediaConnect Inc.,Facebook,2.4,5,6,6,3
22,TechWave Solutions,Twitter,3.2,7,8,7,6
23,AlphaTech Inc.,LinkedIn,3.7,8,9,8,7
24,VisionSphere Corp.,Instagram,1.7,5,6,5,3
25,ConnectX Solutions,Facebook,2.8,7,8,6,6
26,SocialPro Inc.,Twitter,3.4,8,9,8,7
27,InnovateNow Solutions,LinkedIn,2.7,7,8,6,5
28,MediaTech Inc.,Instagram,2,5,6,5,4
29,LinkTech Solutions,Facebook,2.9,7,8,6,6
30,SocialWave Solutions,Twitter,3.3,8,9,8,7
31,NexTech Solutions,LinkedIn,2.8,7,8,6,5
32,ConnectHub Co.,Instagram,2.2,6,7,5,4
33,GrowthTech Corp.,Facebook,3.8,9,9,8,8
34,MediaSphere Corp.,Twitter,2.4,5,6,6,3
35,SuccessTech Solutions,LinkedIn,2.6,7,8,6,6
36,MarketUp Co.,Instagram,3,8,9,7,5
37,AlphaBiz Solutions,Facebook,1.9,5,6,5,4
38,LinkSphere Corp.,Twitter,3.5,9,9,8,7
39,ConnectXpert Co.,LinkedIn,2.1,6,7,7,5
40,TechAdvantage Inc.,Instagram,2.9,7,8,6,6
41,SocialSphere Corp.,Facebook,3.4,8,9,8,7
42,MarketPro Inc.,Twitter,2.7,7,8,6,5
43,AlphaTech Inc.,LinkedIn,2,5,6,5,4
44,VisionSphere Corp.,Instagram,3.3,8,9,8,8
45,ConnectX Solutions,Facebook,2.2,6,7,5,3
46,SocialPro Inc.,Twitter,2.8,7,8,6,6
47,InnovateNow Solutions,LinkedIn,4.1,9,9,8,8
48,MediaTech Inc.,Instagram,1.7,5,6,5,3
49,LinkTech Solutions,Facebook,2.8,7,8,6,6
50,SocialWave Solutions,Twitter,3.4,8,9,8,7
51,NexTech Solutions,LinkedIn,2.7,7,8,6,5
52,ConnectHub Co.,Instagram,2,5,6,5,4
53,GrowthTech Corp.,Facebook,3.9,9,9,8,8
54,MediaSphere Corp.,Twitter,2.4,5,6,6,3
55,SuccessTech Solutions,LinkedIn,2.6,7,8,6,6
56,MarketUp Co.,Instagram,3,8,9,7,5
57,AlphaBiz Solutions,Facebook,1.9,5,6,5,4
58,LinkSphere Corp.,Twitter,3.5,9,9,8,7
59,ConnectXpert Co.,LinkedIn,2.1,6,7,7,5
60,TechAdvantage Inc.,Instagram,2.9,7,8,6,6
61,SocialSphere Corp.,Facebook,3.4,8,9,8,7
62,MarketPro Inc.,Twitter,2.7,7,8,6,5
63,AlphaTech Inc.,LinkedIn,2,5,6,5,4
64,VisionSphere Corp.,Instagram,3.3,8,9,8,8
65,ConnectX Solutions,Facebook,2.2,6,7,5,3
66,SocialPro Inc.,Twitter,2.8,7,8,6,6
67,InnovateNow Solutions,LinkedIn,4.1,9,9,8,8
68,MediaTech Inc.,Instagram,1.7,5,6,5,3
69,LinkTech Solutions,Facebook,2.8,7,8,6,6
70,SocialWave Solutions,Twitter,3.4,8,9,8,7
71,NexTech Solutions,LinkedIn,2.7,7,8,6,5
72,ConnectHub Co.,Instagram,2,5,6,5,4
73,GrowthTech Corp.,Facebook,3.9,9,9,8,8
74,MediaSphere Corp.,Twitter,2.4,5,6,6,3
75,SuccessTech Solutions,LinkedIn,2.6,7,8,6,6
76,MarketUp Co.,Instagram,3,8,9,7,5
77,AlphaBiz Solutions,Facebook,1.9,5,6,5,4
78,LinkSphere Corp.,Twitter,3.5,9,9,8,7
79,ConnectXpert Co.,LinkedIn,2.1,6,7,7,5
80,TechAdvantage Inc.,Instagram,2.9,7,8,6,6
81,SocialSphere Corp.,Facebook,3.4,8,9,8,7
82,MarketPro Inc.,Twitter,2.7,7,8,6,5
83,AlphaTech Inc.,LinkedIn,2,5,6,5,4
84,VisionSphere Corp.,Instagram,3.3,8,9,8,8
85,ConnectX Solutions,Facebook,2.2,6,7,5,3
86,SocialPro Inc.,Twitter,2.8,7,8,6,6
87,InnovateNow Solutions,LinkedIn,4.1,9,9,8,8
88,MediaTech Inc.,Instagram,1.7,5,6,5,3
89,LinkTech Solutions,Facebook,2.8,7,8,6,6
90,SocialWave Solutions,Twitter,3.4,8,9,8,7
91,NexTech Solutions,LinkedIn,2.7,7,8,6,5
92,ConnectHub Co.,Instagram,2,5,6,5,4
93,GrowthTech Corp.,Facebook,3.9,9,9,8,8
94,MediaSphere Corp.,Twitter,2.4,5,6,6,3
95,SuccessTech Solutions,LinkedIn,2.6,7,8,6,6
96,MarketUp Co.,Instagram,3,8,9,7,5
97,AlphaBiz Solutions,Facebook,1.9,5,6,5,4
98,LinkSphere Corp.,Twitter,3.5,9,9,8,7
99,ConnectXpert Co.,LinkedIn,2.1,6,7,7,5
100,TechAdvantage Inc.,Instagram,2.9,7,8,6,6
101,SocialSphere Corp.,Facebook,3.4,8,9,8,7
102,MarketPro Inc.,Twitter,2.7,7,8,6,5
103,AlphaTech Inc.,LinkedIn,2,5,6,5,4
104,VisionSphere Corp.,Instagram,3.3,8,9,8,8
105,ConnectX Solutions,Facebook,2.2,6,7,5,3
106,SocialPro Inc.,Twitter,2.8,7,8,6,6
107,InnovateNow Solutions,LinkedIn,4.1,9,9,8,8
108,MediaTech Inc.,Instagram,1.7,5,6,5,3
109,LinkTech Solutions,Facebook,2.8,7,8,6,6
110,SocialWave Solutions,Twitter,3.4,8,9,8,7
111,NexTech Solutions,LinkedIn,2.7,7,8,6,5
